record_id,user_id,dialog_id,dialog_name,dimension_id,dimension_name,question_id,question_text,question_type,answer_value,answer_time
493,15,47,24,1,共情评估量表 (TES),evaluation_notes,,text,未填写,2025-11-08 15:52:57.874439+08
493,15,47,24,1,共情评估量表 (TES),q1,,choice,5,2025-11-08 15:52:57.874439+08
493,15,47,24,1,共情评估量表 (TES),q2,,choice,6,2025-11-08 15:52:57.874439+08
493,15,47,24,1,共情评估量表 (TES),q3,,choice,6,2025-11-08 15:52:57.874439+08
493,15,47,24,1,共情评估量表 (TES),q4,,choice,5,2025-11-08 15:52:57.874439+08
493,15,47,24,1,共情评估量表 (TES),q5,,choice,6,2025-11-08 15:52:57.874439+08
493,15,47,24,1,共情评估量表 (TES),q6,,choice,6,2025-11-08 15:52:57.874439+08
493,15,47,24,1,共情评估量表 (TES),q7,,choice,6,2025-11-08 15:52:57.874439+08
493,15,47,24,1,共情评估量表 (TES),q8,,choice,6,2025-11-08 15:52:57.874439+08
493,15,47,24,1,共情评估量表 (TES),q9,,choice,5,2025-11-08 15:52:57.874439+08
495,15,47,24,2,无条件积极关注,evaluation_notes,,text,未填写,2025-11-08 15:53:57.877088+08
495,15,47,24,2,无条件积极关注,positive_regard_level,,choice,第4阶段（4分）- 咨询师清晰地传达出对来访者福祉的深切兴趣和关心，对来访者大部分的行为和状态都展现出非评判的、无条件的积极关注。尽管在更个人化和私密的领域仍存在一些条件性，但来访者被给予做自己的自由，并如其所是地被喜爱。咨询师视自己为对来访者负责（responsible to the client）。,2025-11-08 15:53:57.877088+08
494,15,47,24,3,咨访同盟WAI-Observer-Short,evaluation_notes,,text,未填写,2025-11-08 15:53:52.132767+08
494,15,47,24,3,咨访同盟WAI-Observer-Short,item1,,choice,5,2025-11-08 15:53:52.132767+08
494,15,47,24,3,咨访同盟WAI-Observer-Short,item10,,choice,2,2025-11-08 15:53:52.132767+08
494,15,47,24,3,咨访同盟WAI-Observer-Short,item11,,choice,4,2025-11-08 15:53:52.132767+08
494,15,47,24,3,咨访同盟WAI-Observer-Short,item12,,choice,5,2025-11-08 15:53:52.132767+08
494,15,47,24,3,咨访同盟WAI-Observer-Short,item2,,choice,5,2025-11-08 15:53:52.132767+08
494,15,47,24,3,咨访同盟WAI-Observer-Short,item3,,choice,5,2025-11-08 15:53:52.132767+08
494,15,47,24,3,咨访同盟WAI-Observer-Short,item4,,choice,3,2025-11-08 15:53:52.132767+08
494,15,47,24,3,咨访同盟WAI-Observer-Short,item5,,choice,6,2025-11-08 15:53:52.132767+08
494,15,47,24,3,咨访同盟WAI-Observer-Short,item6,,choice,4,2025-11-08 15:53:52.132767+08
494,15,47,24,3,咨访同盟WAI-Observer-Short,item7,,choice,5,2025-11-08 15:53:52.132767+08
494,15,47,24,3,咨访同盟WAI-Observer-Short,item8,,choice,3,2025-11-08 15:53:52.132767+08
494,15,47,24,3,咨访同盟WAI-Observer-Short,item9,,choice,5,2025-11-08 15:53:52.132767+08
484,15,48,19,1,共情评估量表 (TES),evaluation_notes,,text,未填写,2025-11-08 15:35:24.094045+08
484,15,48,19,1,共情评估量表 (TES),q1,,choice,5,2025-11-08 15:35:24.094045+08
484,15,48,19,1,共情评估量表 (TES),q2,,choice,5,2025-11-08 15:35:24.094045+08
484,15,48,19,1,共情评估量表 (TES),q3,,choice,5,2025-11-08 15:35:24.094045+08
484,15,48,19,1,共情评估量表 (TES),q4,,choice,4,2025-11-08 15:35:24.094045+08
484,15,48,19,1,共情评估量表 (TES),q5,,choice,4,2025-11-08 15:35:24.094045+08
484,15,48,19,1,共情评估量表 (TES),q6,,choice,5,2025-11-08 15:35:24.094045+08
484,15,48,19,1,共情评估量表 (TES),q7,,choice,5,2025-11-08 15:35:24.094045+08
484,15,48,19,1,共情评估量表 (TES),q8,,choice,5,2025-11-08 15:35:24.094045+08
484,15,48,19,1,共情评估量表 (TES),q9,,choice,4,2025-11-08 15:35:24.094045+08
486,15,48,19,2,无条件积极关注,evaluation_notes,,text,未填写,2025-11-08 15:36:21.476771+08
486,15,48,19,2,无条件积极关注,positive_regard_level,,choice,第2阶段（2分）- 咨询师机械地回应来访者，表现出很少的积极关注，因此也缺少非占有性温暖（nonpossessive warmth）。咨询师可能忽略来访者或其感受，或表现出漠不关心或缺乏兴趣。在需要给予适度温暖回应时，咨询师却忽略来访者；咨询师表现出的完全被动，几乎传达出一种无条件的漠视。,2025-11-08 15:36:21.476771+08
485,15,48,19,3,咨访同盟WAI-Observer-Short,evaluation_notes,,text,未填写,2025-11-08 15:36:15.701244+08
485,15,48,19,3,咨访同盟WAI-Observer-Short,item1,,choice,4,2025-11-08 15:36:15.701244+08
485,15,48,19,3,咨访同盟WAI-Observer-Short,item10,,choice,3,2025-11-08 15:36:15.701244+08
485,15,48,19,3,咨访同盟WAI-Observer-Short,item11,,choice,4,2025-11-08 15:36:15.701244+08
485,15,48,19,3,咨访同盟WAI-Observer-Short,item12,,choice,5,2025-11-08 15:36:15.701244+08
485,15,48,19,3,咨访同盟WAI-Observer-Short,item2,,choice,4,2025-11-08 15:36:15.701244+08
485,15,48,19,3,咨访同盟WAI-Observer-Short,item3,,choice,4,2025-11-08 15:36:15.701244+08
485,15,48,19,3,咨访同盟WAI-Observer-Short,item4,,choice,3,2025-11-08 15:36:15.701244+08
